unidad,a,a1,b,c,c1,d,e,f,g
Total general,11348,221,65958,12833,86,4616,21216,487,1235
GUAYAS,1265,13,18756,1496,31,636,4041,75,318
MANABÍ,3607,171,14749,2202,15,1046,4487,89,180
LOS RÍOS,1146,14,5958,922,3,427,1942,44,69
PICHINCHA,467,0,5199,686,21,253,1396,100,17
ESMERALDAS,1078,20,3601,819,1,362,1563,32,70
ORELLANA,925,0,1433,838,2,260,1280,11,151
SANTO DOMINGO DE LOS TSÁCHILAS,342,0,1530,450,2,258,1239,5,41
EL ORO,493,0,1869,606,1,120,478,13,26
BOLIVAR,173,0,1317,666,0,175,669,2,43
SANTA ELENA,271,0,1871,277,3,105,457,11,17
PASTAZA,189,0,1437,614,0,172,511,7,58
NAPO,437,0,1149,539,1,157,490,0,78
CAÑAR,137,2,1756,340,0,115,468,6,14
MORONA SANTIAGO,168,0,857,431,0,131,433,4,29
CHIMBORAZO,60,0,976,439,3,121,362,8,16
AZUAY,99,0,993,460,0,32,315,27,30
IMBABURA,66,0,586,180,0,38,154,13,2
COTOPAXI,99,1,428,206,1,39,205,5,14
LOJA,52,0,458,182,0,42,213,6,33
CARCHI,25,0,332,129,0,48,196,0,2
TUNGURAHUA,22,0,287,81,2,23,80,20,2
SUCUMBÍOS,89,0,132,104,0,17,102,7,5
GALÁPAGOS,127,0,168,67,0,12,54,0,2
ZAMORA CHINCHIPE,11,0,116,99,0,27,81,2,18
