unidad,a,a1,b,c,c1,d,e,f,g
Total general,0.09616949152542373,0.0018728813559322035,0.5589661016949152,0.10875423728813559,0.0007288135593220339,0.03911864406779661,0.17979661016949153,0.004127118644067796,0.010466101694915254
GUAYAS,0.047501032631144156,0.00048815290450978185,0.7042919905373437,0.05617513424204874,0.0011640569261387105,0.02388194209755548,0.15174045285569449,0.0028162667567872028,0.01194097104877774
MANABÍ,0.13587734498606194,0.006441648459278234,0.5556015972274543,0.08295035033526708,0.0005650568823928275,0.03940329993219317,0.16902734875310782,0.003352670835530777,0.006780682588713931
LOS RÍOS,0.10888361045130641,0.001330166270783848,0.5660807600950118,0.08760095011876484,0.0002850356294536817,0.04057007125890736,0.18451306413301663,0.004180522565320665,0.0065558194774346795
PICHINCHA,0.05737805627226932,0.0,0.6387762624401032,0.08428553876397592,0.002580169553999263,0.03108489986484826,0.1715198427325224,0.012286521685710775,0.0020887086865708318
ESMERALDAS,0.14285714285714285,0.0026504108136761197,0.4772064670023854,0.10853432282003711,0.00013252054068380598,0.04797243572753777,0.20712960508878875,0.004240657301881791,0.00927643784786642
ORELLANA,0.18877551020408162,0.0,0.29244897959183674,0.1710204081632653,0.00040816326530612246,0.053061224489795916,0.2612244897959184,0.0022448979591836735,0.030816326530612243
SANTO DOMINGO DE LOS TSÁCHILAS,0.08844065166795965,0.0,0.395655546935609,0.11636927851047324,0.000517196793379881,0.06671838634600466,0.32040341349883633,0.0012929919834497026,0.01060253426428756
EL ORO,0.13671658347199112,0.0,0.5183028286189684,0.16805324459234608,0.00027731558513588466,0.033277870216306155,0.13255684969495285,0.0036051026067665,0.007210205213533
BOLIVAR,0.05681444991789819,0.0,0.432512315270936,0.2187192118226601,0.0,0.05747126436781609,0.21970443349753693,0.0006568144499178982,0.014121510673234812
SANTA ELENA,0.0899734395750332,0.0,0.6211819389110226,0.09196547144754316,0.00099601593625498,0.0348605577689243,0.15172642762284197,0.0036520584329349268,0.005644090305444887
PASTAZA,0.06325301204819277,0.0,0.48092369477911645,0.20548862115127176,0.0,0.05756358768406961,0.17101740294511378,0.0023427041499330657,0.019410977242302542
NAPO,0.15327955103472465,0.0,0.40301648544370394,0.1890564714135391,0.00035075412136092597,0.05506839705366538,0.17186951946685375,0.0,0.027358821466152226
CAÑAR,0.04827343199436223,0.0007047216349541931,0.6187455954897816,0.11980267794221283,0.0,0.040521494009866106,0.1649048625792812,0.0021141649048625794,0.004933051444679351
MORONA SANTIAGO,0.08183146614710181,0.0,0.41743789576229906,0.20993667803214808,0.0,0.06380905991232343,0.2109108621529469,0.001948368241597662,0.01412566975158305
CHIMBORAZO,0.030226700251889168,0.0,0.49168765743073045,0.22115869017632242,0.0015113350125944584,0.06095717884130982,0.18236775818639797,0.004030226700251889,0.008060453400503778
AZUAY,0.05061349693251534,0.0,0.5076687116564417,0.23517382413087934,0.0,0.016359918200409,0.16104294478527606,0.013803680981595092,0.015337423312883436
IMBABURA,0.06352261790182868,0.0,0.5640038498556305,0.17324350336862368,0.0,0.03657362848893166,0.1482194417709336,0.012512030798845043,0.0019249278152069298
COTOPAXI,0.09919839679358718,0.001002004008016032,0.4288577154308617,0.20641282565130262,0.001002004008016032,0.03907815631262525,0.20541082164328658,0.00501002004008016,0.014028056112224449
LOJA,0.05273833671399594,0.0,0.4645030425963489,0.1845841784989858,0.0,0.04259634888438134,0.21602434077079108,0.006085192697768763,0.033468559837728194
CARCHI,0.03415300546448088,0.0,0.453551912568306,0.1762295081967213,0.0,0.06557377049180328,0.2677595628415301,0.0,0.00273224043715847
TUNGURAHUA,0.0425531914893617,0.0,0.5551257253384912,0.15667311411992263,0.0038684719535783366,0.04448742746615087,0.15473887814313347,0.03868471953578337,0.0038684719535783366
SUCUMBÍOS,0.19517543859649122,0.0,0.2894736842105263,0.22807017543859648,0.0,0.03728070175438596,0.2236842105263158,0.015350877192982455,0.010964912280701754
GALÁPAGOS,0.29534883720930233,0.0,0.39069767441860465,0.1558139534883721,0.0,0.027906976744186046,0.12558139534883722,0.0,0.004651162790697674
ZAMORA CHINCHIPE,0.031073446327683617,0.0,0.327683615819209,0.2796610169491525,0.0,0.07627118644067797,0.2288135593220339,0.005649717514124294,0.05084745762711865
