unidad,a,a1,b,c,c1,d,e,f,g
Total general,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUAYAS,-0.04866845889427957,-0.0013847284514224216,0.14532588884242847,-0.05257910304608685,0.0004352433668166766,-0.015236701970241129,-0.028056157313797042,-0.0013108518872805936,0.0014748693538624864
MANABÍ,0.03970785346063821,0.00456876710334603,-0.0033645044674609492,-0.025803886952868504,-0.0001637566769292064,0.000284655864396563,-0.010769261416383707,-0.0007744478085370196,-0.0036854191062013235
LOS RÍOS,0.012714118925882686,-0.0005427150851483554,0.007114658400096618,-0.021153287169370746,-0.0004437779298683522,0.0014514271911107504,0.004716453963525102,5.340392125286874e-05,-0.0039102822174805745
PICHINCHA,-0.038791435253154406,-0.0018728813559322035,0.07981016074518799,-0.02446869852415967,0.0018513559946772289,-0.008033744202948348,-0.008276767436969118,0.008159403041642978,-0.008377393008344423
ESMERALDAS,0.04668765133171912,0.0007775294577439162,-0.08175963469252984,-0.00021991446809847826,-0.0005962930186382279,0.008853791659741157,0.02733299491929722,0.00011353865781399495,-0.0011896638470488344
ORELLANA,0.09260601867865789,-0.0018728813559322035,-0.2665171221030785,0.062266170875129714,-0.00032065029401591146,0.013942580421999307,0.08142787962642686,-0.001882220684884123,0.02035022483569699
SANTO DOMINGO DE LOS TSÁCHILAS,-0.007728839857464073,-0.0018728813559322035,-0.16331055475930623,0.007615041222337651,-0.00021161676594215288,0.02759974227820805,0.1406068033293448,-0.002834126660618094,0.00013643256937230681
EL ORO,0.04054709194656739,-0.0018728813559322035,-0.04066327307594686,0.05929900730421049,-0.00045149797418614926,-0.005840773851490455,-0.04723976047453868,-0.0005220160373012963,-0.003255896481382254
BOLIVAR,-0.03935504160752554,-0.0018728813559322035,-0.12645378642397925,0.10996497453452451,-0.0007288135593220339,0.01835262030001948,0.039907823328045405,-0.003470304194149898,0.003655408978319558
SANTA ELENA,-0.006196051950390524,-0.0018728813559322035,0.06221583721610735,-0.016788765840592426,0.00026720237693294614,-0.00425808629887231,-0.028070182546649558,-0.0004750602111328697,-0.004822011389470367
PASTAZA,-0.03291647947723096,-0.0018728813559322035,-0.07804240691579878,0.09673438386313617,-0.0007288135593220339,0.018444943616273003,-0.00877920722437775,-0.0017844144941347308,0.008944875547387288
NAPO,0.057110059509300926,-0.0018728813559322035,-0.1559496162512113,0.08030223412540351,-0.00037805943796110795,0.015949752985868773,-0.007927090702637779,-0.004127118644067796,0.01689271977123697
CAÑAR,-0.0478960595310615,-0.0011681597209780104,0.059779493794866356,0.011048440654077243,-0.0007288135593220339,0.0014028499420694965,-0.014891747590210336,-0.002012953739205217,-0.005533050250235903
MORONA SANTIAGO,-0.01433802537832192,-0.0018728813559322035,-0.14152820593261617,0.10118244074401249,-0.0007288135593220339,0.024690415844526817,0.031114251983455382,-0.0021787504024701346,0.0036595680566677957
CHIMBORAZO,-0.06594279127353456,-0.0018728813559322035,-0.06727844426418478,0.11240445288818683,0.0007825214532724245,0.02183853477351321,0.002571148016906444,-9.689194381590736e-05,-0.002405648294411476
AZUAY,-0.04555599459290839,-0.0018728813559322035,-0.051297390038473556,0.12641958684274374,-0.0007288135593220339,-0.02275872586738761,-0.018753665384215468,0.009676562337527296,0.0048713216179681815
IMBABURA,-0.032646873623595044,-0.0018728813559322035,0.0050377481607152275,0.06448926608048809,-0.0007288135593220339,-0.0025450155788649467,-0.031577168398557925,0.008384912154777246,-0.008541173879708324
COTOPAXI,0.003028905268163448,-0.0008708773479161715,-0.13010838626405352,0.09765858836316703,0.00027319044869399806,-4.048775517136172e-05,0.025614211473795057,0.0008829013960123637,0.003561954417309195
LOJA,-0.043431154811427786,-0.0018728813559322035,-0.09446305909856634,0.07582994121085022,-0.0007288135593220339,0.0034777048165847285,0.03622773060129955,0.001958074053700966,0.02300245814281294
CARCHI,-0.06201648606094285,-0.0018728813559322035,-0.10541418912660921,0.06747527090858572,-0.0007288135593220339,0.026455126424006672,0.08796295267203855,-0.004127118644067796,-0.0077338612577567845
TUNGURAHUA,-0.05361630003606203,-0.0018728813559322035,-0.00384037635642398,0.04791887683178704,0.0031396583942563026,0.005368783398354261,-0.025057732026358054,0.03455760089171557,-0.006597629741336918
SUCUMBÍOS,0.0990059470710675,-0.0018728813559322035,-0.2694924174843889,0.11931593815046089,-0.0007288135593220339,-0.0018379423134106468,0.04388760035682426,0.011223758548914659,0.0004988105857864997
GALÁPAGOS,0.1991793456838786,-0.0018728813559322035,-0.16826842727631058,0.04705971620023651,-0.0007288135593220339,-0.011211667323610564,-0.054215214820654306,-0.004127118644067796,-0.00581493890421758
ZAMORA CHINCHIPE,-0.06509604519774011,-0.0018728813559322035,-0.2312824858757062,0.17090677966101692,-0.0007288135593220339,0.03715254237288136,0.04901694915254237,0.0015225988700564973,0.04038135593220339
